zip_code,city,state,metro,county_name,date,rental_price
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-10-01,3200
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-02-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-03-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-04-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-05-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-06-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-07-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-08-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-09-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-10-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-11-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2010-12-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-01-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-02-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-03-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-04-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-05-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-06-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-07-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-08-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-09-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-10-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-11-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2011-12-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2012-01-01,NA
11226,New York,NY,New York-Newark-Jersey City,Kings County,2012-02-01,NA
